

A/C LAMA DHABA BAGIPUL      In M/S RAM KISHAN JIVA RAM Page No. 1
 K134 VPO BAGIPUL TEH  NIRMAND                    PAN            8894199533  N1H
22/07/2023S L172912           TO SALE                     6506.90        0.00        7053.61
25/07/2023C C2                RN44554                        0.00     7054.00          -0.39
27/07/2023S L173244           TO SALE                     3879.51        0.00        3879.12
27/07/2023S L173247           TO SALE                     1779.20        0.00        5658.32
27/07/2023S L173258           TO SALE                     5387.48        0.00       11045.80
31/07/2023C C1                RN44472                        0.00     3800.00        7245.80
08/08/2023C C1                RN45955                        0.00     7250.00          -4.20
14/08/2023S L174382           TO SALE                     2572.40        0.00        2568.20
14/08/2023S L174386           TO SALE                     5744.50        0.00        8312.70
14/08/2023S L174387           TO SALE                     2731.36        0.00       11044.06
22/08/2023C C1                RN46661                        0.00     7500.00        3544.06
24/08/2023S L175061           TO SALE                     6640.56        0.00       10184.62
25/08/2023S L175068           TO SALE                      967.00        0.00       11151.62
25/08/2023S L175069           TO SALE                     4763.12        0.00       15914.74
29/08/2023C C1                RN47075                        0.00    15915.00          -0.26
07/09/2023S L175966           TO SALE                     5670.20        0.00        5669.94
07/09/2023S L175970           TO SALE                     6204.76        0.00       11874.70
07/09/2023S L176005           TO SALE                     7546.99        0.00       19421.69
12/09/2023C C1                RN47557                        0.00    16500.00        2921.69
15/09/2023S L176512           TO SALE                     2303.36        0.00        5225.05
15/09/2023S L176518           TO SALE                     1608.25        0.00        6833.30
15/09/2023S L176519           TO SALE                     1649.94        0.00        8483.24
19/09/2023C C1                RN49157                        0.00     8483.24           0.00
21/09/2023S L176972           TO SALE                     3694.06        0.00        3694.06
21/09/2023S L176975           TO SALE                     4713.20        0.00        8407.26
21/09/2023S L176976           TO SALE                     3232.68        0.00       11639.94
27/09/2023C C                 RN49268                        0.00    11640.00          -0.06
28/09/2023S L177538           TO SALE                     4712.66        0.00        4712.60
29/09/2023S L177549           TO SALE                     1373.80        0.00        6086.40
29/09/2023S L177550           TO SALE                     1199.84        0.00        7286.24
04/10/2023C C1                RN50078                        0.00     7300.00         -13.76
12/10/2023S L178575           TO SALE                     3306.66        0.00        3292.90
13/10/2023S L178622           TO SALE                     1434.00        0.00        4726.90
13/10/2023S L178623           TO SALE                     1565.94        0.00        6292.84
17/10/2023C C1                RN51489                        0.00     6300.00          -7.16
20/10/2023S L179078           TO SALE                     5788.22        0.00        5781.06
20/10/2023S L179118           TO SALE                     2589.00        0.00        8370.06
20/10/2023S L179119           TO SALE                     2999.06        0.00       11369.12
24/10/2023C C1                RN 50647                       0.00    11370.00          -0.88
26/10/2023S L179563           TO SALE                     2891.61        0.00        2890.73
27/10/2023S L179611           TO SALE                     5031.20        0.00        7921.93
27/10/2023S L179612           TO SALE                     1186.76        0.00        9108.69
31/10/2023C C2                RN52562                        0.00     9110.00          -1.31
03/11/2023S L180169           TO SALE                     3024.46        0.00        3023.15
03/11/2023S L180204           TO SALE                     1633.14        0.00        4656.29
07/11/2023C C2                RN53153                        0.00     4656.00           0.29
09/11/2023S L180634           TO SALE                     2503.24        0.00        2503.53
09/11/2023S L180692           TO SALE                     2154.00        0.00        4657.53
09/11/2023S L180693           TO SALE                     4268.94        0.00        8926.47
14/11/2023C C1                RN52993                        0.00     8950.00         -23.53
16/11/2023S L181235           TO SALE                     3186.12        0.00        3162.59
21/11/2023C C1                RN54450                        0.00     3200.00         -37.41
22/11/2023S L181760           TO SALE                     2695.97        0.00        2658.56
22/11/2023S L181765           TO SALE                     1717.14        0.00        4375.70
22/11/2023S L181766           TO SALE                     2581.00        0.00        6956.70

                         TOTAL                          225410.94   218454.24        6956.70


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
