

A/C VIJAY BROS BOOK SELLERS RAMPUR       In M/S RAM KISHAN JIVA RAM Page No. 1
 M016 VILL.   PO RAMPUR BUSHAHR                   PANABKPR2123C  9218533179  LBG
04/07/2023J J-CH              BY CH 811242 Q103              0.00    20000.00        7804.99
05/07/2023S E191520           TO SALE                     3320.52        0.00       11125.51
06/07/2023S P230806           TO SALE                    22368.29        0.00       33493.80
11/07/2023S E191557           TO SALE                    26886.30        0.00       60380.10
20/07/2023S C629106           TO SALE                     5083.44        0.00       65463.54
21/07/2023S H399293           TO SALE                     6152.16        0.00       71615.70
27/07/2023S P230901           TO SALE                     6650.46        0.00       78266.16
28/07/2023S P230906           TO SALE                     9086.76        0.00       87352.92
02/08/2023J J-CH              BY CH 303250 Q101              0.00    87353.00          -0.08
04/08/2023S P230930           TO SALE                     6481.86        0.00        6481.78
07/08/2023S P230955           TO SALE                    19158.65        0.00       25640.43
21/08/2023S P231040           TO SALE                    56724.14        0.00       82364.57
24/08/2023S P231066           TO SALE                     2890.52        0.00       85255.09
24/08/2023S P231067           TO SALE                    10543.03        0.00       95798.12
28/08/2023S P231089           TO SALE                     1988.06        0.00       97786.18
30/08/2023S P231101           TO SALE                     3434.88        0.00      101221.06
01/09/2023S P231114           TO SALE                    18572.89        0.00      119793.95
05/09/2023J J-CH              BY CH 309414 Q101              0.00    87244.00       32549.95
07/09/2023S P231150           TO SALE                     2184.88        0.00       34734.83
07/09/2023S P231151           TO SALE                     8161.75        0.00       42896.58
11/09/2023S E191957           TO SALE                     1187.46        0.00       44084.04
11/09/2023S E191958           TO SALE                      684.40        0.00       44768.44
11/09/2023S P231179           TO SALE                     1250.00        0.00       46018.44
11/09/2023S P231180           TO SALE                    22918.70        0.00       68937.14
12/09/2023S E191974           TO SALE                     2021.38        0.00       70958.52
13/09/2023S P231199           TO SALE                     6839.77        0.00       77798.29
15/09/2023S P231215           TO SALE                      987.84        0.00       78786.13
16/09/2023S E192004           TO SALE                     2454.64        0.00       81240.77
19/09/2023S H400377           TO SALE                    15368.60        0.00       96609.37
20/09/2023S P231246           TO SALE                    49915.09        0.00      146524.46
20/09/2023S P231248           TO SALE                     3038.06        0.00      149562.52
22/09/2023S P231258           TO SALE                     2184.88        0.00      151747.40
22/09/2023P VB1561            BY PURCHASE                    0.00     7765.00      143982.40
27/09/2023S E192081           TO SALE                    56598.31        0.00      200580.71
05/10/2023S E192138           TO SALE                    22882.56        0.00      223463.27
05/10/2023J J-CH              BY CH 019142 Q106              0.00   200580.00       22883.27
06/10/2023S P231351           TO SALE                    47718.56        0.00       70601.83
12/10/2023S P231386           TO SALE                     4668.16        0.00       75269.99
17/10/2023S P231412           TO SALE                     6839.77        0.00       82109.76
20/10/2023S B551615           TO SALE                      598.00        0.00       82707.76
20/10/2023S P231433           TO SALE                    43188.73        0.00      125896.49
21/10/2023S B551662           TO SALE                     2184.88        0.00      128081.37
21/10/2023S E192246           TO SALE                      291.37        0.00      128372.74
24/10/2023S P231447           TO SALE                    15006.28        0.00      143379.02
26/10/2023S E192286           TO SALE                     1238.00        0.00      144617.02
26/10/2023S E192288           TO SALE                     1500.96        0.00      146117.98
28/10/2023S E192306           TO SALE                     1238.00        0.00      147355.98
28/10/2023S P231473           TO SALE                     2700.00        0.00      150055.98
30/10/2023S P231479           TO SALE                    14342.75        0.00      164398.73
04/11/2023S P231508           TO SALE                     2788.80        0.00      167187.53
06/11/2023S P231513           TO SALE                    13679.52        0.00      180867.05
09/11/2023S P231530           TO SALE                     4725.50        0.00      185592.55
10/11/2023S E192391           TO SALE                     1298.00        0.00      186890.55
15/11/2023J J96279            BY CH 607190                   0.00   164399.00       22491.55
22/11/2023S P231602           TO SALE                     2693.70        0.00       25185.25
22/11/2023S P231603           TO SALE                    16714.90        0.00       41900.15
24/11/2023S P231618           TO SALE                    49282.14        0.00       91182.29

                         TOTAL                          925614.51   834432.22       91182.29


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
