

A/C SUSHIL CONFECTIONERY RAMPUR BR.   In M/S RAM KISHAN JIVA RAM Page No. 1
 M075 VILL.   PO RAMPUR BUSHAHR                   PANADRPK9104H  9816347010  Q7G
21/10/2023J J-CH              BY CH 388688 Q103              0.00     2083.00        9691.93
23/10/2023S O108129           TO SALE                     -115.95        0.00        9575.98
25/10/2023S N326821           TO SALE                     1988.06        0.00       11564.04
25/10/2023S N326852           TO SALE                     2324.06        0.00       13888.10
26/10/2023J J-CH              BY CH 388689 Q103              0.00    10570.00        3318.10
27/10/2023S N327122           TO SALE                     7795.64        0.00       11113.74
30/10/2023S N327394           TO SALE                     1895.75        0.00       13009.49
31/10/2023S O108253           TO SALE                    -2688.00        0.00       10321.49
31/10/2023J J-CH              BY CH 388690 Q103              0.00     8427.00        1894.49
02/11/2023J J-CH              BY CH 388691 Q103              0.00     1896.00          -1.51
03/11/2023S N327964           TO SALE                     7824.85        0.00        7823.34
04/11/2023S N327992           TO SALE                     6541.25        0.00       14364.59
07/11/2023J CN3146            BY CN 3146                     0.00      646.55       13718.04
08/11/2023J J-CH              BY CH 388692 Q103              0.00    14366.00        -647.96
10/11/2023S N328807           TO SALE                     5093.60        0.00        4445.64
11/11/2023S N328902           TO SALE                     1041.56        0.00        5487.20
13/11/2023S N329134           TO SALE                     1243.89        0.00        6731.09
15/11/2023J J-CH              BY CH 388694 Q103              0.00     7380.00        -648.91
17/11/2023S N329666           TO SALE                     3305.35        0.00        2656.44
18/11/2023S N329768           TO SALE                     3305.68        0.00        5962.12
22/11/2023J J-CH              BY CH 388696 Q103              0.00     6610.00        -647.88
24/11/2023S N330558           TO SALE                     5509.25        0.00        4861.37
25/11/2023S N330647           TO SALE                     3095.22        0.00        7956.59

                         TOTAL                          320943.71   312987.12        7956.59


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
